,Итого,Неделя 1,Неделя 2,Неделя 3,Неделя 4,Неделя 5,Неделя 6,Неделя 7,Неделя 8,Неделя 9,Неделя 10,Неделя 11,Неделя 12,Неделя 13,Неделя 14,Неделя 15
,,22.9,29.9,6.10,13.10,20.10,27.10,3.11,10.11,17.11,24.11,1.12,8.12,15.12,22.12,29.12
Жалобы,,,,,,,,,,,,,,,,
Жалоб подано ,13934,0,727,1034,813,3323,658,498,2222,4587,72,0,0,0,0,0
Жалоб одобрено,1922,0,82,133,103,242,48,26,674,609,5,0,0,0,0,0
"CR, % ","13,8%",,"11,3%","12,9%","12,7%","7,3%","7,3%","5,2%","30,3%","13,3%","6,9%",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Жалобы поддержка WB,,,,,,,,,,,,,,,,
Жалоб через поддержку подано,468,0,0,0,0,0,239,112,26,13,78,0,0,0,0,0
Жалоб через поддержку одобрено,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"CR, % ","0,4%",,,,,,,,,,,,,,,
Чаты,,,,,,,,,,,,,,,,
Чат закрыт,316,0,1,8,30,4,36,55,50,61,71,0,0,0,0,0
Отзыв удален ,258,0,1,6,28,2,30,41,42,52,56,0,0,0,0,0
Отзыв дополнен ,57,0,0,2,1,2,6,14,8,9,15,0,0,0,0,0
Компенсация,,,,,,,,,,,,,,,,
Одобрен возврат,79,0,1,8,10,4,19,23,5,3,6,0,0,0,0,0
Одобрена компенсация ,237,0,0,0,20,0,17,32,45,58,65,0,0,0,0,0
Сумма компенсации ,р.101 450,р.0,р.0,р.0,р.9 750,р.0,р.8 200,р.14 900,р.19 700,р.24 600,р.24 300,р.0,р.0,р.0,р.0,р.0
,,,,,,,,,,,,,,,,
Итого действий:,14718,0,728,1042,843,3327,933,665,2298,4661,221,0,0,0,0,0
Итого удалений:,2239,0,83,141,132,246,84,81,724,672,76,0,0,0,0,0
